商品,订单号,订单状态,商品总价(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家编码-规格维度,商家编码-商品维度,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
adidas阿迪达斯 ADILENIUM百搭logo条纹时尚牛仔裤蓝色 JY6292,260217-527486164492956,未发货，退款成功,600.0	,0.0	,5.0	,29.75	,1.13	,565.25	,595.0	,1	,	,	,903893490761	,"JY6292【收藏关注优先发货】,32 【正品保障 支持鉴定】",1858801613760	,	,	,	,退款成功,	,	,2026-02-17 11:31:10,否,,	,
adidas阿迪达斯 ADILENIUM百搭logo条纹时尚牛仔裤蓝色 JY6292,260217-105035865682748,未发货，退款成功,600.0	,0.0	,5.0	,0.0	,0.0	,595.0	,595.0	,1	,	,	,903893490761	,"JY6292【收藏关注优先发货】,32 【正品保障 支持鉴定】",1858801613760	,	,	,	,退款成功,	,	,2026-02-17 03:24:18,否,,	,
Adidas阿迪达斯 板鞋女鞋低帮缓震透气增高运动板鞋HQ6912,260217-159991754351983,未发货，退款成功,391.0	,0.0	,5.0	,3.0	,0.0	,383.0	,386.0	,1	,	,	,904507432844	,"HQ6912【收藏关注优先发货】,38【正品保障 支持鉴定】",1859678876263	,	,	,	,退款成功,	,	,2026-02-17 00:24:47,否,,	,
Adidas阿迪达斯 板鞋女鞋低帮缓震透气增高运动板鞋HQ6912,260215-154245599652346,未发货，退款成功,391.0	,0.0	,5.0	,20.0	,0.0	,366.0	,386.0	,1	,	,	,904507432844	,"HQ6912【收藏关注优先发货】,38【正品保障 支持鉴定】",1859678876263	,	,	,	,退款成功,	,	,2026-02-15 23:57:26,否,,	,
Nike耐克 板鞋蓝白SB FROCE 58街头滑板复古低帮北卡蓝HJ3489-141,260214-555514601051203,未发货，退款成功,525.0	,0.0	,5.0	,0.0	,0.0	,520.0	,520.0	,1	,	,	,896112938333	,"HJ3489-141【收藏关注优先发货】,43【正品保障 支持鉴定】",1851259580669	,	,	,	,退款成功,	,	,2026-02-14 22:04:47,否,,	,
Nike耐克女子DUNKLOW海盐蓝白耐磨运动休闲低帮板鞋 FB1843-141,260214-244611816991861,已取消,491.0	,0.0	,5.0	,0.0	,0.0	,486.0	,486.0	,1	,	,	,806729270148	,36.5	,1779682257741	,	,	,	,无售后或售后取消,	,	,	,	,,	,
Adidas阿迪达斯 YEEZY500StoneSalt灰色老爹鞋低帮耐磨透气IE4783,260214-485490768170641,已发货，待收货,918.0	,0.0	,5.0	,0.0	,0.0	,913.0	,913.0	,1	,2026-02-24 15:45:16,	,898448953606	,"IE4783【收藏关注优先发货】,40.5【正品保障 支持鉴定】",1853265763231	,	,	,	,售后处理中,78580249455746	,中通快递,2026-02-14 11:24:54,否,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260214-485239109923633,未发货，退款成功,315.0	,0.0	,5.0	,20.0	,0.0	,290.0	,310.0	,1	,	,	,896110633104	,"DH2987-001【收藏关注优先发货】,43【正品保障 支持鉴定】",1851257019295	,	,	,	,退款成功,	,	,2026-02-14 00:31:43,否,,	,
Adidas阿迪达斯 三叶草男女板鞋SUPERSTAR 2贝壳头休闲鞋JQ6250,260213-378745721151108,未发货，退款成功,468.0	,0.0	,5.0	,0.0	,0.0	,463.0	,463.0	,1	,	,	,904508794790	,"JQ6250【收藏关注优先发货】,40.5【正品保障 支持鉴定】",1859680085609	,	,	,	,退款成功,	,	,2026-02-13 18:17:54,否,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260211-343707554083025,未发货，退款成功,309.0	,0.0	,5.0	,20.0	,0.0	,284.0	,304.0	,1	,	,	,896110633104	,"DH2987-001【收藏关注优先发货】,42【正品保障 支持鉴定】",1851257019294	,	,	,	,退款成功,	,	,2026-02-11 18:18:15,否,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260211-393404793153752,未发货，退款成功,309.0	,0.0	,5.0	,0.0	,0.0	,304.0	,304.0	,1	,	,	,896110633104	,"DH2987-001【收藏关注优先发货】,42【正品保障 支持鉴定】",1851257019294	,	,	,	,退款成功,	,	,2026-02-11 00:02:46,否,,	,
adidas阿迪达斯 neo Entrap舒适低帮板鞋粉色经典耐磨男女IE3904,260210-271423977902913,已收货,277.0	,0.0	,5.0	,3.0	,0.0	,269.0	,272.0	,1	,2026-02-10 22:59:37,2026-03-02 22:59:37,896115787886	,"IE3904【收藏关注优先发货】,38.5【正品保障 支持鉴定】",1851261433588	,	,	,	,无售后或售后取消,78578554494671	,中通快递,2026-02-10 12:45:00,否,,	,
adidas阿迪达斯 neo Entrap舒适低帮板鞋粉色经典耐磨男女IE3904,260210-038482746920894,未发货，退款成功,277.0	,0.0	,5.0	,0.0	,0.0	,272.0	,272.0	,1	,	,	,896115787886	,"IE3904【收藏关注优先发货】,38.5【正品保障 支持鉴定】",1851261433588	,	,	,	,退款成功,	,	,2026-02-10 12:01:54,否,,	,
Nike耐克女子DUNKLOW海盐蓝白耐磨运动休闲低帮板鞋 FB1843-141,260210-209809631652160,已取消,486.0	,0.0	,5.0	,24.05	,0.0	,456.95	,481.0	,1	,	,	,806729270148	,36.5	,1779682257741	,	,	,	,无售后或售后取消,	,	,	,	,,	,
Adidas阿迪达斯 D-PAD Classic时尚舒适小锯齿黑棕防滑耐磨KK1415,260209-031320983162258,已发货，退款成功,302.0	,0.0	,5.0	,20.0	,0.0	,277.0	,297.0	,1	,2026-02-10 11:08:38,	,896121634146	,"KK1415【收藏关注优先发货】,42.5【正品保障 支持鉴定】",1851266987539	,	,	,	,退款成功,78578403075219	,中通快递,2026-02-09 23:31:58,否,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260209-483508897293962,已收货,311.0	,0.0	,5.0	,20.0	,0.0	,286.0	,306.0	,1	,2026-02-10 11:08:38,2026-03-02 11:08:38,896110633104	,"DH2987-001【收藏关注优先发货】,40【正品保障 支持鉴定】",1851257019292	,	,	,	,无售后或售后取消,78578403130078	,中通快递,2026-02-09 19:49:44,否,,	,
adidas阿迪达斯 neo Entrap舒适低帮板鞋粉色经典耐磨男女IE3904,260209-117445772910734,未发货，退款成功,277.0	,0.0	,5.0	,0.0	,0.0	,272.0	,272.0	,1	,	,	,896115787886	,"IE3904【收藏关注优先发货】,38.5【正品保障 支持鉴定】",1851261433588	,	,	,	,退款成功,	,	,2026-02-09 19:01:06,否,,	,
Nike耐克 板鞋蓝白SB FROCE 58街头滑板复古低帮北卡蓝HJ3489-141,260209-241665349161208,已收货,1028.0	,0.0	,10.28	,0.0	,0.0	,1017.72	,1017.72	,2	,2026-02-09 17:47:01,2026-02-19 17:47:01,896112938333	,"HJ3489-141【收藏关注优先发货】,42【正品保障 支持鉴定】",1851259580667	,	,	,	,无售后或售后取消,78578253536622	,中通快递,2026-02-09 17:37:59,否,,	,
Adidas阿迪达斯 D-PAD Classic时尚舒适小锯齿黑棕防滑耐磨KK1415,260209-208897328700718,已收货,302.0	,0.0	,5.0	,9.55	,0.0	,287.45	,297.0	,1	,2026-02-09 17:47:01,2026-02-16 18:24:20,896121634146	,"KK1415【收藏关注优先发货】,42.5【正品保障 支持鉴定】",1851266987539	,	,	,加急发货,无售后或售后取消,78578253542626	,中通快递,2026-02-09 15:03:44,否,,	,
Nike耐克女子DUNKLOW海盐蓝白耐磨运动休闲低帮板鞋 FB1843-141,260209-457818837380073,未发货，退款成功,486.0	,0.0	,5.0	,0.0	,0.0	,481.0	,481.0	,1	,	,	,806729270148	,36.5	,1779682257741	,	,	,	,退款成功,	,	,2026-02-09 14:17:54,否,,	,
Nike耐克女子DUNKLOW海盐蓝白耐磨运动休闲低帮板鞋 FB1843-141,260209-179883282784039,未发货，退款成功,486.0	,0.0	,5.0	,3.0	,0.0	,478.0	,481.0	,1	,	,	,806729270148	,36.5	,1779682257741	,	,	,	,退款成功,	,	,2026-02-09 14:15:38,否,,	,
Nike耐克女子DUNKLOW海盐蓝白耐磨运动休闲低帮板鞋 FB1843-141,260209-373544784220803,未发货，退款成功,486.0	,0.0	,5.0	,0.0	,0.0	,481.0	,481.0	,1	,	,	,806729270148	,36.5	,1779682257741	,	,	,	,退款成功,	,	,2026-02-09 14:13:12,否,,	,
adidas阿迪达斯 ADILENIUM百搭logo条纹时尚牛仔裤蓝色 JY6292,260209-232710531471167,已收货,600.0	,0.0	,5.0	,0.0	,0.0	,595.0	,595.0	,1	,2026-02-09 17:47:01,2026-02-19 17:47:01,903893490761	,"JY6292【收藏关注优先发货】,29 【正品保障 支持鉴定】",1858801613757	,	,	,	,无售后或售后取消,78578253542654	,中通快递,2026-02-09 10:11:36,否,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260209-416169378111174,已取消,311.0	,0.0	,5.0	,20.0	,0.0	,286.0	,306.0	,1	,	,	,896110633104	,"DH2987-001【收藏关注优先发货】,40【正品保障 支持鉴定】",1851257019292	,	,	,	,无售后或售后取消,	,	,	,	,,	,
Adidas阿迪达斯 D-PAD Classic时尚舒适小锯齿黑棕防滑耐磨KK1415,260209-085899405673084,已收货,303.0	,0.0	,5.0	,5.0	,0.0	,293.0	,298.0	,1	,2026-02-09 17:47:01,2026-02-19 17:47:01,896121634146	,"KK1415【收藏关注优先发货】,42【正品保障 支持鉴定】",1851266987538	,	,	,	,无售后或售后取消,78578253551486	,中通快递,2026-02-09 00:10:47,否,,	,
Adidas阿迪达斯 板鞋女鞋低帮缓震透气增高运动板鞋HQ6912,260208-651952198062019,已发货，退款成功,391.0	,0.0	,5.0	,21.0	,0.0	,365.0	,386.0	,1	,2026-02-09 17:47:01,	,904507432844	,"HQ6912【收藏关注优先发货】,38【正品保障 支持鉴定】",1859678876263	,	,	,	,退款成功,78578253551473	,中通快递,2026-02-08 23:59:36,否,,	,
adidas阿迪达斯 ADILENIUM百搭logo条纹时尚牛仔裤蓝色 JY6292,260208-500658347600228,已发货，退款成功,600.0	,0.0	,5.0	,41.65	,0.0	,553.35	,595.0	,1	,2026-02-08 23:43:00,	,903893490761	,"JY6292【收藏关注优先发货】,31 【正品保障 支持鉴定】",1858801613759	,	,	,	,退款成功,78578030039892	,中通快递,2026-02-08 22:12:01,否,,	,
Adidas阿迪达斯 板鞋女鞋低帮缓震透气增高运动板鞋HQ6912,260208-130490048042998,已收货，退款成功,414.0	,0.0	,5.0	,20.45	,0.0	,388.55	,409.0	,1	,2026-02-09 17:47:01,2026-02-12 19:51:42,904507432844	,"HQ6912【收藏关注优先发货】,37【正品保障 支持鉴定】",1859678876262	,	,	,	,退款成功,78578253542639	,中通快递,2026-02-08 20:04:01,否,,	,
Adidas阿迪达斯 D-PAD Classic时尚舒适小锯齿黑棕防滑耐磨KK1415,260208-162906785363785,已收货,303.0	,0.0	,5.0	,9.0	,0.0	,289.0	,298.0	,1	,2026-02-08 21:40:52,2026-02-18 21:40:52,896121634146	,"KK1415【收藏关注优先发货】,42【正品保障 支持鉴定】",1851266987538	,	,	,	,无售后或售后取消,78578021605524	,中通快递,2026-02-08 15:42:43,否,,	,
Adidas阿迪达斯Originals Superstar 2柔软舒适百搭板鞋KK4473,260208-662804928124044,已收货,518.0	,0.0	,5.0	,0.0	,0.0	,513.0	,513.0	,1	,2026-02-08 21:40:35,2026-02-18 21:40:35,896125059373	,"KK4473【收藏关注优先发货】,44【正品保障 支持鉴定】",1851268806477	,	,	,	,无售后或售后取消,78578022080956	,中通快递,2026-02-08 15:18:16,否,,	,
Adidas阿迪达斯 D-PAD Classic时尚舒适小锯齿黑棕防滑耐磨KK1415,260208-314614750861314,已发货，退款成功,303.0	,0.0	,0.0	,0.0	,0.0	,303.0	,303.0	,1	,2026-02-08 21:39:51,	,896121634146	,"KK1415【收藏关注优先发货】,42【正品保障 支持鉴定】",1851266987538	,	,	,	,退款成功,78578021703904	,中通快递,2026-02-08 14:55:40,否,,	,
Adidas阿迪达斯 D-PAD Classic时尚舒适小锯齿黑棕防滑耐磨KK1415,260208-609715515021314,已收货,302.0	,0.0	,5.0	,0.0	,0.0	,297.0	,297.0	,1	,2026-02-08 21:39:24,2026-02-18 21:39:24,896121634146	,"KK1415【收藏关注优先发货】,42.5【正品保障 支持鉴定】",1851266987539	,	,	,	,无售后或售后取消,78578022080935	,中通快递,2026-02-08 14:53:24,否,,	,
Adidas阿迪达斯 板鞋女鞋低帮缓震透气增高运动板鞋HQ6912,260208-579988406601253,已收货,414.0	,0.0	,5.0	,0.0	,0.0	,409.0	,409.0	,1	,2026-02-08 21:40:15,2026-02-18 21:40:15,904507432844	,"HQ6912【收藏关注优先发货】,36.5【正品保障 支持鉴定】",1859678876261	,	,	,	,无售后或售后取消,78578022081107	,中通快递,2026-02-08 03:30:05,否,,	,
Adidas阿迪达斯 板鞋女鞋低帮缓震透气增高运动板鞋HQ6912,260208-042949701152480,未发货，退款成功,414.0	,0.0	,5.0	,24.54	,0.0	,384.46	,409.0	,1	,	,	,904507432844	,"HQ6912【收藏关注优先发货】,36.5【正品保障 支持鉴定】",1859678876261	,	,	,	,退款成功,	,	,2026-02-08 00:11:13,否,,	,
Adidas阿迪达斯 D-PAD Classic时尚舒适小锯齿黑棕防滑耐磨KK1415,260207-131365609112595,未发货，退款成功,302.0	,0.0	,0.0	,29.71	,0.0	,272.29	,302.0	,1	,	,	,896121634146	,"KK1415【收藏关注优先发货】,42.5【正品保障 支持鉴定】",1851266987539	,	,	,	,退款成功,	,	,2026-02-07 23:32:47,否,,	,
Adidas阿迪达斯 D-PAD Classic时尚舒适小锯齿黑棕防滑耐磨KK1415,260207-661567587992595,已取消,302.0	,0.0	,5.0	,14.22	,0.0	,282.78	,297.0	,1	,	,	,896121634146	,"KK1415【收藏关注优先发货】,42.5【正品保障 支持鉴定】",1851266987539	,	,	,	,无售后或售后取消,	,	,	,	,,	,
adidas阿迪达斯 ADILENIUM百搭logo条纹时尚牛仔裤蓝色 JY6292,260207-586552460840416,未发货，退款成功,600.0	,0.0	,6.0	,14.0	,0.0	,580.0	,594.0	,1	,	,	,903893490761	,"JY6292【收藏关注优先发货】,29 【正品保障 支持鉴定】",1858801613757	,	,	,	,退款成功,	,	,2026-02-07 21:14:20,	,,	,
adidas阿迪达斯 ADILENIUM百搭logo条纹时尚牛仔裤蓝色 JY6292,260207-242955077160416,未发货，退款成功,600.0	,0.0	,6.0	,14.0	,0.0	,580.0	,594.0	,1	,	,	,903893490761	,"JY6292【收藏关注优先发货】,31 【正品保障 支持鉴定】",1858801613759	,	,	,	,退款成功,	,	,2026-02-07 21:14:20,	,,	,
